Cycle_Index,Discharge Time (s),Decrement 3.6-3.4V (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),Charging time (s),RUL
161.0,2043.88,706.3999999999069,3.998,3.436,4532.313000000082,5480.31,8719.94,952
162.0,2043.88,696.0,4.007,3.691,4487.311999999918,5453.06,8809.94,951
163.0,2063.62,704.7999999998137,3.992,3.778,4422.047999999486,5408.45,8837.34,950
164.0,2063.94,709.6000000000931,3.994,3.437,4580.321000000462,5516.32,8844.64,949
165.0,2060.42,705.6000000000931,3.994,3.437,4586.38300000038,5516.38,8830.3,948
166.0,2056.9,705.6000000000931,3.995,3.437,4574.382999999914,5516.38,8792.38,947
167.0,2054.37,705.6000000000931,3.995,3.437,4565.915999999736,5516.32,8818.78,946
168.0,2051.17,704.0,3.995,3.438,4556.339333333075,5516.32,8789.41,945
169.0,2047.81,702.0,3.995,3.438,4550.351999999955,5480.35,8762.31,944
170.0,2045.38,702.3999999999069,3.994,3.44,4537.151999999303,5480.35,8773.66,943
171.0,2042.37,698.3936000000685,3.994,3.441,4529.9590000002645,5480.36,8741.28,942
172.0,2039.71,698.3999999999069,3.995,3.441,4522.7209999994375,5480.32,8740.1,941
173.0,2036.9,694.3999999999069,3.994,3.442,4514.319999999832,5444.32,8750.37,940
174.0,2035.27,694.7999999998137,3.995,3.442,4508.351999999955,5444.35,8747.84,939
175.0,2033.47,694.7999999998137,3.994,3.443,4501.121000000276,5444.32,8731.49,938
176.0,2032.0,692.7999999998137,3.994,3.443,4493.972199999727,5444.34,8720.34,937
177.0,2030.14,692.7999999998137,3.995,3.443,4486.728000000119,5444.33,8684.33,936
178.0,2028.0,688.7999999998137,3.995,3.444,4484.375,5408.38,8706.36,935
179.0,2026.05,691.2000000001863,3.994,3.444,4478.25,5408.25,8705.12,934
180.0,2024.38,687.2020666664466,3.994,3.444,4472.312000000384,5408.31,8708.16,933
181.0,2022.75,689.6000000000931,3.994,3.445,4460.344000000507,5408.34,8713.08,932
182.0,2020.77,687.6000000000931,3.994,3.445,4454.328000000212,5408.33,8698.22,931
183.0,2020.39,686.992249999661,3.995,3.445,4450.743999999482,5408.34,8709.16,930
184.0,2018.94,687.6000000000931,3.994,3.445,4448.35999999987,5408.36,8701.61,929
185.0,2018.08,685.6000000000931,3.994,3.446,4443.558999999892,5372.36,8710.62,928
186.0,2017.06,676.813000000082,4.003,3.697,4389.343999999575,5355.0,8766.66,927
187.0,2016.22,676.0,3.989,3.773,4370.343000000343,5336.34,8762.41,926
188.0,2021.81,685.0,3.993,3.451,4436.343999999575,5372.34,8703.72,925
189.0,2020.78,685.6000000000931,3.994,3.447,4454.375,5408.38,8719.75,924
190.0,2018.25,684.0,3.993,3.446,4448.375,5372.38,8714.94,923
191.0,2016.12,686.3999999999069,3.993,3.446,4442.343999999575,5372.34,8699.53,922
192.0,2014.19,682.3855333332904,3.993,3.447,4436.343000000343,5372.34,8691.94,921
193.0,2012.34,680.3999999999069,3.993,3.448,4429.174999999814,5372.38,8698.09,920
194.0,2010.22,680.7999999998137,3.993,3.448,4421.943000000436,5372.34,8691.31,919
195.0,2008.03,676.7999999998137,3.993,3.448,4414.774999999907,5372.38,8680.53,918
196.0,2006.38,676.7999999998137,3.993,3.449,4412.311999999918,5336.31,8661.19,917
197.0,2004.31,676.7999999998137,3.993,3.449,4406.375,5336.38,8664.91,916
198.0,2003.25,675.2000000001863,3.992,3.449,4400.375,5336.38,8675.59,915
199.0,2001.22,675.2000000001863,3.992,3.45,4393.143999999389,5336.34,8663.38,914
200.0,1999.81,675.5751999998465,3.991,3.451,4388.311999999918,5336.31,8671.97,913
201.0,1998.75,673.6000000000931,3.992,3.451,4382.327999999747,5336.34,8668.19,912
202.0,1997.06,673.6000000000931,3.992,3.451,4378.712999999989,5336.31,8680.31,911
203.0,1996.0,672.0,3.992,3.451,4371.418999999762,5300.22,8657.47,910
204.0,1994.91,672.0,3.992,3.451,4370.313000000082,5300.31,8638.31,909
205.0,1993.31,672.0,3.991,3.451,4364.344000000507,5300.34,8636.97,908
206.0,1992.16,670.3999999999069,3.991,3.451,4364.375,5300.38,8640.56,907
207.0,1990.62,670.3999999999069,3.991,3.451,4357.081999999471,5300.28,8640.44,906
208.0,1989.94,666.3999999999069,3.991,3.453,4349.913000000175,5300.31,8681.19,905
209.0,1987.56,668.7999999998137,3.991,3.453,4346.343499999959,5300.31,8610.0,904
210.0,1985.56,657.625,3.999,3.702,4298.375,5257.06,8737.12,903
211.0,200892.99,99536.92650000006,4.269,3.279,68880.00399999972,80526.56,80526.56,902
212.0,2010.88,666.0,3.983,3.434,4796.351999999955,5804.35,9386.14,901
213.0,2014.4,674.4000000003725,3.987,3.458,4412.479000000283,5336.48,8762.21,900
214.0,2012.29,672.0,3.987,3.456,4421.920999999158,5372.32,8765.15,899
215.0,2009.31,668.0,3.987,3.458,4414.752000000328,5336.35,8738.72,898
216.0,2006.66,668.0,3.987,3.458,4406.320999999531,5336.32,8725.21,897
217.0,2003.97,668.0,3.988,3.458,4400.350999999791,5336.35,8736.58,896
218.0,2000.64,666.0,3.988,3.458,4393.150999999605,5336.35,8712.19,895
219.0,1998.11,660.0,3.988,3.459,4382.382000000216,5300.38,8707.16,894
220.0,1995.24,662.4000000003725,3.987,3.46,4376.352000000887,5300.35,8718.31,893
221.0,1992.42,662.4000000003725,3.987,3.46,4364.350999999791,5300.35,8691.45,892
222.0,1989.82,658.4000000003725,3.987,3.46,4357.049999999814,5300.25,8684.06,891
223.0,1986.75,658.7999999998137,3.987,3.461,4349.950999999419,5300.35,8650.37,890
224.0,1985.02,656.7999999998137,3.987,3.461,4340.38300000038,5264.38,8667.87,889
225.0,1982.75,656.7999999998137,3.988,3.461,4334.344000000507,5264.34,8624.83,888
226.0,1981.09,656.7999999998137,3.988,3.461,4328.328999999911,5264.33,8654.41,887
227.0,1978.81,654.0,3.987,3.462,4321.12799999956,5264.36,8622.47,886
228.0,1976.89,655.2000000001863,3.987,3.461,4313.958999999799,5264.36,8656.77,885
229.0,1974.08,652.0,3.987,3.462,4306.713000000455,5228.31,8620.47,884
230.0,1972.78,652.0,3.987,3.462,4299.512000000104,5228.31,8642.33,883
231.0,1971.36,653.5999999996275,3.987,3.482,4292.344000000507,5228.34,8640.55,882
232.0,1969.59,651.5999999996275,3.987,3.463,4286.343999999575,5228.34,8621.08,881
233.0,1968.67,651.5999999996275,3.987,3.463,4280.343999999575,5228.34,8648.67,880
234.0,1966.28,650.0,3.987,3.463,4277.94299999997,5228.34,8596.86,879
235.0,1962.97,640.811999999918,3.994,3.702,4214.280999999493,5172.98,8750.0,878
236.0,1962.94,640.0,3.981,3.781,4184.343999999575,5120.34,8671.41,877
237.0,1969.38,648.0,3.986,3.469,4263.512000000104,5192.31,8630.66,876
238.0,1968.06,652.0,3.986,3.464,4280.375,5228.38,8619.94,875
239.0,1966.09,648.0,3.986,3.464,4277.925400000066,5228.31,8622.12,874
240.0,1963.03,646.4000000003725,3.986,3.464,4270.7750000003725,5192.38,8609.84,873
241.0,1961.22,644.4000000003725,3.986,3.464,4262.311999999918,5192.31,8647.53,872
242.0,1958.5,644.7999999998137,3.985,3.465,4256.406000000425,5192.41,8616.53,871
243.0,1956.41,642.0,3.985,3.466,4244.343999999575,5192.34,8615.66,870
244.0,1955.03,640.7999999998137,3.986,3.466,4238.343000000343,5156.34,8619.97,869
245.0,1953.62,642.0,3.986,3.465,4232.313000000082,5156.31,8601.12,868
246.0,1951.09,643.2319999998435,3.986,3.466,4227.513000000268,5156.31,8593.88,867
247.0,1950.19,639.2000000001863,3.985,3.466,4220.313000000082,5156.31,8615.75,866
248.0,1948.62,640.0,3.985,3.466,4220.343999999575,5156.34,8600.94,865
249.0,1946.91,639.5999999996275,3.985,3.466,4213.174999999814,5156.38,8576.12,864
250.0,1945.41,637.5999999996275,3.985,3.467,4208.375,5156.38,8613.12,863
251.0,1943.84,638.0,3.985,3.467,4198.712000000291,5120.31,8592.59,862
252.0,1942.44,636.0,3.984,3.468,4196.313000000082,5120.31,8568.91,861
253.0,1941.44,636.0,3.984,3.468,4190.281999999657,5120.28,8556.66,860
254.0,1940.31,636.0319999996573,3.984,3.467,4184.313000000082,5120.31,8569.16,859
255.0,1938.59,634.4000000003725,3.984,3.467,4184.25,5120.25,8534.22,858
256.0,1937.28,632.4000000003725,3.984,3.468,4177.206000000238,5120.41,8578.84,857
257.0,1935.62,632.7999999998137,3.983,3.468,4169.943999999203,5120.34,8583.72,856
258.0,1932.0,634.0,3.983,3.47,4166.375,5084.38,8580.88,855
259.0,1928.62,624.0,3.991,3.709,4102.375,5061.0,8671.06,854
260.0,1936.42,628.0,3.977,3.787,4061.951999999583,5012.35,8612.35,853
261.0,1936.8,628.7999999998137,3.979,3.472,4169.85599999968,5084.26,8606.98,852
262.0,1939.39,633.5999999996275,3.982,3.471,4169.917999999598,5084.32,8613.47,851
263.0,1937.95,633.5999999996275,3.982,3.469,4177.053999999538,5120.25,8611.84,850
264.0,1934.85,630.0,3.982,3.469,4172.319999999367,5084.32,8576.74,849
265.0,1934.24,630.0,3.982,3.471,4166.227000000887,5084.23,8597.22,848
266.0,1932.0,628.0,3.982,3.47,4162.719999999739,5084.32,8594.79,847
267.0,1930.66,628.0,3.981,3.47,4155.550999999978,5084.35,8607.04,846
268.0,1927.2,626.4000000003725,3.98,3.471,4148.351000000723,5084.35,8560.48,845
269.0,1926.2,626.4000000003725,3.981,3.471,4141.150999999605,5084.35,8581.86,844
270.0,1923.91,624.7999999998137,3.98,3.473,4136.25,5048.25,8543.45,843
271.0,1922.37,624.7999999998137,3.98,3.471,4133.888999999501,5048.29,8566.4,842
272.0,1921.02,622.0,3.98,3.471,4124.351999999955,5048.35,8548.57,841
273.0,1919.56,622.0,3.98,3.472,4119.544000000693,5048.34,8567.36,840
274.0,1918.12,623.2000000001863,3.98,3.473,4118.359999999404,5048.36,8553.19,839
275.0,1916.39,619.2123999996111,3.98,3.473,4112.360000000335,5048.36,8557.92,838
276.0,1914.77,620.0,3.979,3.473,4106.234999999404,5048.23,8537.67,837
277.0,1913.31,621.5999999996275,3.98,3.474,4105.112999999896,5012.31,8547.91,836
278.0,1912.0,617.5999999996275,3.979,3.473,4097.943999999203,5012.34,8552.03,835
279.0,1910.05,620.0,3.979,3.474,4090.744000000879,5012.34,8519.27,834
280.0,1908.97,620.0,3.979,3.475,4088.343000000343,5012.34,8513.31,833
281.0,1908.06,616.0,3.979,3.475,4085.700000000186,5014.5,8529.51,832
282.0,1906.72,616.0,3.979,3.475,4082.344000000506,5012.34,8489.94,831
283.0,1904.0,609.5930000003427,3.987,3.712,4011.202999999746,4970.02,8630.66,830
284.0,1907.16,611.2000000001863,3.976,3.789,3982.7120000002906,4940.31,8589.75,829
285.0,1908.06,614.4000000003725,3.978,3.48,4076.311999999918,5012.31,8566.0,828
286.0,1908.34,614.4000000003725,3.978,3.478,4076.343000000343,5012.34,8534.06,827
287.0,1908.62,616.0,3.979,3.477,4082.375,5012.38,8532.47,826
288.0,1907.03,616.0,3.979,3.476,4076.313000000082,5012.31,8545.47,825
289.0,1903.66,614.4000000003725,3.979,3.476,4070.344000000506,5012.34,8523.25,824
290.0,1900.97,612.0,3.978,3.478,4061.9119999995455,4976.31,8496.94,823
291.0,1900.5,612.0,3.979,3.478,4054.6180000007153,4976.22,8533.19,822
292.0,1898.62,608.0,3.979,3.479,4052.375,4976.38,8546.41,821
293.0,1896.72,608.7999999998137,3.979,3.479,4046.311999999918,4976.31,8509.81,820
294.0,1895.94,608.7999999998137,3.978,3.479,4040.375,4976.38,8536.88,819
295.0,1894.53,608.7999999998137,3.979,3.479,4034.375,4976.38,8510.03,818
296.0,1893.53,610.0,3.979,3.479,4033.018999999389,4940.22,8541.72,817
297.0,1890.94,607.2000000001863,3.978,3.478,4025.974999999628,4940.38,8508.56,816
298.0,1889.97,608.0,3.978,3.48,4018.713000000456,4940.31,8522.81,815
299.0,1888.47,605.5999999996275,3.978,3.48,4016.343000000343,4940.34,8492.47,814
300.0,1886.81,606.0,3.978,3.48,4011.575000000186,4940.38,8492.09,813
301.0,1885.31,604.0213333331048,3.977,3.48,4010.375,4940.38,8464.12,812
302.0,1885.44,604.0,3.978,3.48,4004.375,4940.38,8518.72,811
303.0,1883.34,600.0,3.977,3.48,3998.3439999995753,4940.34,8517.88,810
304.0,1881.53,602.0,3.977,3.481,3992.344000000506,4904.34,8495.53,809
305.0,1879.31,598.4000000003725,3.977,3.482,3989.974999999628,4904.38,8457.62,808
306.0,1877.69,598.4000000003725,3.977,3.482,3982.7120000002906,4904.31,8484.19,807
307.0,1873.94,595.188000000082,3.984,3.714,3906.311999999918,4865.0,8602.12,806
308.0,198748.44,192077.0229999991,4.266,3.29,66689.98100000061,78255.55,78255.55,805
309.0,1912.74,604.0,3.973,3.474,4529.9199999999255,5552.32,9509.6,804
310.0,1919.26,614.0,3.977,3.486,4106.352000000887,5012.35,8624.83,803
311.0,1918.98,614.0,3.977,3.484,4124.320000000298,5048.32,8596.48,802
312.0,1916.86,613.5999999996275,3.978,3.484,4124.321000000462,5048.32,8564.38,801
313.0,1915.1,612.0,3.978,3.485,4118.35099999886,5048.35,8580.9,800
314.0,1911.9,613.5999999996275,3.978,3.485,4112.320000000298,5048.32,8540.1,799
315.0,1909.73,608.0,3.978,3.485,4105.023000000976,5012.22,8550.15,798
316.0,1906.81,609.5999999996275,3.978,3.485,4097.919999998994,5012.32,8512.1,797
317.0,1903.68,606.0,3.978,3.485,4088.321000000462,5012.32,8521.09,796
318.0,1913.92,618.0,3.981,3.486,4076.3519999999553,5012.35,8533.6,795
319.0,1899.74,609.5999999996275,3.979,3.48,4112.312999999151,5012.31,8526.72,794
